issue_id,report_id,report_url,report_date,coroner,area,issue_sentence,extract_error,similarity_group_id,group_label,group_description
iss_0000002,2026-0143,https://www.judiciary.uk/prevention-of-future-death-reports/tania-jarman-prevention-of-future-deaths-report/,2026-03-12,E. Wheeler,Cheshire,The lack of available beds may lead to an artificially elevated threshold for clinical referrals.,,-1,,
iss_0000003,2026-0143,https://www.judiciary.uk/prevention-of-future-death-reports/tania-jarman-prevention-of-future-deaths-report/,2026-03-12,E. Wheeler,Cheshire,The impact of removing patients from protective factors during crisis placement was not fully appreciated.,,-1,,
iss_0000004,2026-0143,https://www.judiciary.uk/prevention-of-future-death-reports/tania-jarman-prevention-of-future-deaths-report/,2026-03-12,E. Wheeler,Cheshire,Long-standing bed shortages may cause clinical decision-makers to adopt hardened attitudes towards referrals.,,-1,,
iss_0000005,2026-0144,https://www.judiciary.uk/prevention-of-future-death-reports/malcolm-welch-prevention-of-future-deaths-report/,2026-03-11,M. Armitage,North Yorkshire and York,Patients may be admitted to wards without being provided with previously assessed and allocated mobility aids.,,-1,,
iss_0000006,2026-0144,https://www.judiciary.uk/prevention-of-future-death-reports/malcolm-welch-prevention-of-future-deaths-report/,2026-03-11,M. Armitage,North Yorkshire and York,There is an inconsistent provision of mobility aids during the course of a patient's hospital admission.,,-1,,
iss_0000007,2026-0144,https://www.judiciary.uk/prevention-of-future-death-reports/malcolm-welch-prevention-of-future-deaths-report/,2026-03-11,M. Armitage,North Yorkshire and York,The failure to transfer allocated mobility aids between wards creates a risk of future falls and injury.,,-1,,
iss_0000008,2026-0139,https://www.judiciary.uk/prevention-of-future-death-reports/mark-simpson-prevention-of-future-deaths-report/,2026-03-11,A. Wilson,Blackpool and Fylde,Non-medically qualified staff reviewed clinical consultation summaries.,,-1,,
iss_0000009,2026-0139,https://www.judiciary.uk/prevention-of-future-death-reports/mark-simpson-prevention-of-future-deaths-report/,2026-03-11,A. Wilson,Blackpool and Fylde,Clinical information from NHS 111 consultations was not brought to the attention of a GP.,,-1,,
iss_0000010,2026-0139,https://www.judiciary.uk/prevention-of-future-death-reports/mark-simpson-prevention-of-future-deaths-report/,2026-03-11,A. Wilson,Blackpool and Fylde,Consultation reports were not incorporated into the patient's medical record.,,-1,,
iss_0000011,2026-0139,https://www.judiciary.uk/prevention-of-future-death-reports/mark-simpson-prevention-of-future-deaths-report/,2026-03-11,A. Wilson,Blackpool and Fylde,Inadequate processes exist for ensuring significant clinical information is reviewed by medical professionals.,,-1,,
iss_0000012,2026-0140,https://www.judiciary.uk/prevention-of-future-death-reports/janette-palmer-prevention-of-future-deaths-report/,2026-03-11,N. Parsley,Suffolk,The housing provider was unaware of the existence of the UK Power Networks Priority Services Register.,,-1,,
iss_0000013,2026-0140,https://www.judiciary.uk/prevention-of-future-death-reports/janette-palmer-prevention-of-future-deaths-report/,2026-03-11,N. Parsley,Suffolk,There is a lack of awareness regarding the enhanced support available to residents during electrical outages.,,-1,,
iss_0000014,2026-0140,https://www.judiciary.uk/prevention-of-future-death-reports/janette-palmer-prevention-of-future-deaths-report/,2026-03-11,N. Parsley,Suffolk,"Care home and sheltered housing providers may lack knowledge of the Priority Services Register, risking resident safety during extreme weather events.",,-1,,
iss_0000015,2026-0137,https://www.judiciary.uk/prevention-of-future-death-reports/john-loannou-prevention-of-future-deaths-report/,2026-03-10,G. Irvine,London East,The Barts Health Trust failed to investigate the death under the NHS England Patient Safety Framework.,,-1,,
iss_0000016,2026-0137,https://www.judiciary.uk/prevention-of-future-death-reports/john-loannou-prevention-of-future-deaths-report/,2026-03-10,G. Irvine,London East,No written discharge summary was provided to the patient's carers following the outpatient appointment.,,-1,,
iss_0000017,2026-0137,https://www.judiciary.uk/prevention-of-future-death-reports/john-loannou-prevention-of-future-deaths-report/,2026-03-10,G. Irvine,London East,Clinical governance failed to investigate whether the treatment caused the fatal infection or missed a pre-existing infection.,,-1,,
iss_0000018,2026-0137,https://www.judiciary.uk/prevention-of-future-death-reports/john-loannou-prevention-of-future-deaths-report/,2026-03-10,G. Irvine,London East,The aetiology and precise timing of the fatal infection were not fully established.,,-1,,
iss_0000019,2026-0137,https://www.judiciary.uk/prevention-of-future-death-reports/john-loannou-prevention-of-future-deaths-report/,2026-03-10,G. Irvine,London East,A failure to address communication barriers for a patient with profound learning disabilities resulted in a missed learning opportunity.,,-1,,
iss_0000021,2026-0141,https://www.judiciary.uk/prevention-of-future-death-reports/surendrakumar-patel-prevention-of-future-deaths-report/,2026-03-10,J. Puzey,Worcestershire,Healthcare staff failed to recognise the requirement for a mental capacity assessment following food refusal.,,-1,,
iss_0000022,2026-0141,https://www.judiciary.uk/prevention-of-future-death-reports/surendrakumar-patel-prevention-of-future-deaths-report/,2026-03-10,J. Puzey,Worcestershire,Healthcare staff failed to consider hospital transfer for prisoners experiencing severe weight loss.,,-1,,
iss_0000023,2026-0141,https://www.judiciary.uk/prevention-of-future-death-reports/surendrakumar-patel-prevention-of-future-deaths-report/,2026-03-10,J. Puzey,Worcestershire,Healthcare staff failed to expedite full medical and psychiatric assessments for at-risk prisoners.,,-1,,
iss_0000024,2026-0141,https://www.judiciary.uk/prevention-of-future-death-reports/surendrakumar-patel-prevention-of-future-deaths-report/,2026-03-10,J. Puzey,Worcestershire,Healthcare staff failed to advocate for family contact for the deceased.,,-1,,
iss_0000025,2026-0141,https://www.judiciary.uk/prevention-of-future-death-reports/surendrakumar-patel-prevention-of-future-deaths-report/,2026-03-10,J. Puzey,Worcestershire,Prison staff failed to inform next of kin regarding the prisoner's decision to refuse food and fluids.,,-1,,
iss_0000026,2026-0141,https://www.judiciary.uk/prevention-of-future-death-reports/surendrakumar-patel-prevention-of-future-deaths-report/,2026-03-10,J. Puzey,Worcestershire,Prison staff failed to consult the prisoner regarding the sharing of information with next of kin.,,-1,,
iss_0000027,2026-0142,https://www.judiciary.uk/prevention-of-future-death-reports/jennine-romeo-prevention-of-future-deaths-report/,2026-03-10,A. Hewitt,London City,Hospital outpatient appointments were cancelled without ensuring the clinical review of critical diagnostic results.,,-1,,
iss_0000028,2026-0136,https://www.judiciary.uk/prevention-of-future-death-reports/taylor-maddox-prevention-of-future-deaths-report/,2026-03-09,S. Covell,"County of Devon, Plymouth and Torbay",Patients awaiting discharge from psychiatric hospital are not being supported to secure accommodation in a timely and effective manner.,,-1,,
iss_0000029,2026-0136,https://www.judiciary.uk/prevention-of-future-death-reports/taylor-maddox-prevention-of-future-deaths-report/,2026-03-09,S. Covell,"County of Devon, Plymouth and Torbay",The assessment process for emergency accommodation fails to adequately consider the vulnerability of individuals with psychiatric illnesses.,,-1,,
iss_0000030,2026-0136,https://www.judiciary.uk/prevention-of-future-death-reports/taylor-maddox-prevention-of-future-deaths-report/,2026-03-09,S. Covell,"County of Devon, Plymouth and Torbay",Communication failures exist between hospital discharge facilitators and the local authority housing service.,,-1,,
iss_0000031,2026-0136,https://www.judiciary.uk/prevention-of-future-death-reports/taylor-maddox-prevention-of-future-deaths-report/,2026-03-09,S. Covell,"County of Devon, Plymouth and Torbay",The criteria for priority need for temporary accommodation do not sufficiently account for the impact of homelessness on mental health stability.,,-1,,
iss_0000032,2026-0135,https://www.judiciary.uk/prevention-of-future-death-reports/terrence-frost-prevention-of-future-deaths-report/,2026-03-09,N. Parsley,Suffolk,The GP was unable to contact the Medical Assessment Unit to discuss a patient's admission.,,-1,,
iss_0000033,2026-0135,https://www.judiciary.uk/prevention-of-future-death-reports/terrence-frost-prevention-of-future-deaths-report/,2026-03-09,N. Parsley,Suffolk,The GP was unable to pre-alert the Accident and Emergency department to a patient's arrival.,,-1,,
