model,tag,family,is_moe,params_total_b,params_active_b,agreement_with_clinical_adjudication,sensitivity,specificity,local,installed_preexisting,pulled_by_run,started_at,finished_at,status,error_reason
llama3.1:70b,llama3.1:70b,llama3.1,False,70.0,,0.9452054794520548,0.9705882352941176,0.9230769230769231,True,False,True,2026-05-02T23:11:08.766557+00:00,2026-05-02T23:24:06.133306+00:00,completed,
llama3.1:8b,llama3.1:8b,llama3.1,False,8.0,,0.6917808219178082,0.35294117647058826,0.9871794871794872,True,False,True,2026-05-02T23:24:06.152061+00:00,2026-05-02T23:26:25.010458+00:00,completed,
deepseek-r1:14b,deepseek-r1:14b,deepseek-r1,False,14.0,,0.9452054794520548,0.9558823529411765,0.9358974358974359,True,False,True,2026-05-02T23:26:25.019380+00:00,2026-05-03T00:00:01.985093+00:00,completed,
deepseek-r1:32b,deepseek-r1:32b,deepseek-r1,False,32.0,,0.952054794520548,0.9558823529411765,0.9487179487179487,True,False,True,2026-05-03T00:00:02.002951+00:00,2026-05-03T01:20:53.767887+00:00,completed,
deepseek-r1:70b,deepseek-r1:70b,deepseek-r1,False,70.0,,0.9383561643835616,0.8970588235294118,0.9743589743589743,True,False,True,2026-05-03T01:20:53.787263+00:00,2026-05-03T04:00:42.758728+00:00,completed,
deepseek-r1:7b,deepseek-r1:7b,deepseek-r1,False,7.0,,0.8561643835616438,0.7352941176470589,0.9615384615384616,True,False,True,2026-05-03T04:00:42.779693+00:00,2026-05-03T04:21:28.326745+00:00,completed,
deepseek-r1:8b,deepseek-r1:8b,deepseek-r1,False,8.0,,0.9452054794520548,0.9264705882352942,0.9615384615384616,True,False,True,2026-05-03T04:21:28.347763+00:00,2026-05-03T04:44:49.994689+00:00,completed,
gemma3:12b,gemma3:12b,gemma3,False,12.0,,0.9315068493150684,0.9411764705882353,0.9230769230769231,True,False,True,2026-05-03T04:44:50.538500+00:00,2026-05-03T04:48:45.217828+00:00,completed,
gemma3:27b,gemma3:27b,gemma3,False,27.0,,0.9452054794520548,0.9705882352941176,0.9230769230769231,True,False,True,2026-05-03T04:48:45.938461+00:00,2026-05-03T04:55:40.767519+00:00,completed,
qwen2.5:14b,qwen2.5:14b,qwen2.5,False,14.0,,0.9178082191780822,0.8970588235294118,0.9358974358974359,True,False,True,2026-05-03T04:55:42.464250+00:00,2026-05-03T04:59:27.804609+00:00,completed,
qwen2.5:32b,qwen2.5:32b,qwen2.5,False,32.0,,0.910958904109589,0.8529411764705882,0.9615384615384616,True,False,True,2026-05-03T04:59:27.824672+00:00,2026-05-03T05:07:25.483363+00:00,completed,
qwen2.5:72b,qwen2.5:72b,qwen2.5,False,72.0,,0.9246575342465754,0.8970588235294118,0.9487179487179487,True,False,True,2026-05-03T05:07:25.503843+00:00,2026-05-03T05:26:43.745574+00:00,completed,
qwen2.5:7b,qwen2.5:7b,qwen2.5,False,7.0,,0.7671232876712328,0.5147058823529411,0.9871794871794872,True,False,True,2026-05-03T05:26:43.767528+00:00,2026-05-03T05:29:15.390002+00:00,completed,
mistral:7b,mistral:7b,mistral,False,7.0,,0.7671232876712328,0.5441176470588235,0.9615384615384616,True,False,True,2026-05-03T05:29:15.408514+00:00,2026-05-03T05:31:08.868949+00:00,completed,
qwen3:14b,qwen3:14b,qwen3,False,14.0,,0.8904109589041096,0.7794117647058824,0.9871794871794872,True,False,True,2026-05-03T05:31:08.884181+00:00,2026-05-03T06:16:33.331825+00:00,completed,
qwen3:30b,qwen3:30b,qwen3,False,30.0,,0.9383561643835616,0.9117647058823529,0.9615384615384616,True,False,True,2026-05-03T06:16:34.375321+00:00,2026-05-03T06:46:27.263515+00:00,completed,
qwen3:32b,qwen3:32b,qwen3,False,32.0,,0.9178082191780822,0.8823529411764706,0.9487179487179487,True,False,True,2026-05-03T06:46:28.932768+00:00,2026-05-03T08:14:59.930583+00:00,completed,
qwen3:8b,qwen3:8b,qwen3,False,8.0,,0.9452054794520548,0.8970588235294118,0.9871794871794872,True,False,True,2026-05-03T08:15:02.160107+00:00,2026-05-03T08:41:32.374637+00:00,completed,
llama3:70b,llama3:70b,llama3,False,70.0,,0.952054794520548,1.0,0.9102564102564102,True,False,True,2026-05-03T08:41:32.804541+00:00,2026-05-03T09:00:55.699764+00:00,completed,
llama3:8b,llama3:8b,llama3,False,8.0,,0.9315068493150684,0.9705882352941176,0.8974358974358975,True,False,True,2026-05-03T09:00:55.720441+00:00,2026-05-03T09:02:58.265154+00:00,completed,
gemma2:27b,gemma2:27b,gemma2,False,27.0,,0.9383561643835616,1.0,0.8846153846153846,True,False,True,2026-05-03T09:02:58.284817+00:00,2026-05-03T09:09:41.219232+00:00,completed,
gemma2:9b,gemma2:9b,gemma2,False,9.0,,0.8835616438356164,0.8382352941176471,0.9230769230769231,True,False,True,2026-05-03T09:09:41.239314+00:00,2026-05-03T09:13:03.203960+00:00,completed,
phi3:14b,phi3:14b,phi3,False,14.0,,0.7808219178082192,0.6029411764705882,0.9358974358974359,True,False,True,2026-05-03T09:13:03.222044+00:00,2026-05-03T09:16:32.758308+00:00,completed,
gpt-oss:120b,gpt-oss:120b,gpt-oss,False,120.0,,0.9383561643835616,0.9117647058823529,0.9615384615384616,True,True,False,2026-05-03T09:16:32.776288+00:00,2026-05-03T09:27:41.558612+00:00,completed,
gpt-oss:20b,gpt-oss:20b,gpt-oss,False,20.0,,0.9383561643835616,0.9264705882352942,0.9487179487179487,True,True,False,2026-05-03T09:27:41.575493+00:00,2026-05-03T09:50:06.786456+00:00,completed,
qwen3.5:27b,qwen3.5:27b,qwen3.5,,,,,,,,,,,,failed,timeout
